NU_SEQUENCIAL,NU_ANO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
3907710,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,
2752015,2024,35007080,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1422,1384,1396,1410,468.0,507.9,551.8,479.3,BCACBCCEEBEDBEDCACCDBCABCCDEDBACBAABCBCEDCDEB,ADBBBBDCACBDACBBCBCDCCEEDECAAEBEEABEADBBCCECA,CBCDEBADECBADCEEBDDCBAAEDDCEBBACEBCDAACECEBDD,BDCCAAADACDACCEBDDAABCACCBCCBDEBDECBDABBEBBDE,1,BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD,DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA,AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC,DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD,1,100,120,100,120,0,440
3858771,2024,35917102,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1420,1383,1395,1408,565.4,587.8,559.0,464.3,EACDAACBEDEABCABCDCCCCDAACCCBCABCEBCDDBBABDEB,AECEBDEDADDDDDEBBBCDCAECCDACBACEEEADEEDADAAEA,CAAADECCECCDDAACEBACEBADDBDADBDBDADCABEDADDEB,CECDBACBADBCBCCBCCAEABBBBEDDCBACDBCDADBDBBDDC,0,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC,CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,1,120,140,100,120,140,620
3757608,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,
2863003,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1421,1386,1397,1409,600.3,611.4,591.4,750.9,DDECDCBBACAEDCBDEDDBABCDDDEEBCCAECBCCDEDCEAEB,ABCCADBECBBECEBACBDDBEBCBADBBCDEAECBEDAAEBECB,AACDABBEDADEEBBBEDABDACDBCCADCBDDBDEDDCECBECD,CCBCDADDBDDADDDABABBCCCDCCECBBBACEDAEADDDADCB,0,DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED,ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE,AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE,CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB,1,100,140,100,100,140,580
1051845,2024,35043990,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1422,1384,1396,1410,503.8,495.8,535.8,556.4,BCCADBADEBBCEEDBBDAACEEDABCEAACDCECABACCBBDDE,DCDBBCECDCEBBAACDADDEDDAACCAECAEDADBECCEACBBE,BCAECBADECBBDEDEADACABADDDAABAAAEBDBBECECDDBC,EBBEDBABBDACCBCBDBCACECBBCCDBABCBAEBDBACDCAAB,1,BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD,DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA,AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC,DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD,1,120,120,140,140,120,640
2398333,2024,35446836,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1422,1384,1396,1410,492.4,441.1,500.6,534.5,BDCBBBACCEDEDAAABDDEAADAAADBDDEBEBAEBCCDBCCEA,BDDBCCBBBDBECDCADCAAD*BACDADDACCBACEDAEABCDDA,EDCDBAADECBEEDECBDEACCCDBDDABDDAEEDADBEECACBE,EABEDEBCCDDDCCCBCBBACEDBBEECBBCCCBDADBDACDACB,1,BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD,DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA,AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC,DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD,1,140,200,120,120,140,720
2182488,2024,35912347,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1420,1383,1395,1408,586.1,594.2,560.7,550.4,EBEDAEDAAAECCDBAEDDCBABCDCBEBDBCBACBDCDEACDDB,CACEBEBCABCDDEBBAACDCAECCBACEEBACEAEEADBDACAA,CAAAEBCBECBDDBBDEBDCEDACDBCAEABBDADDECAEADDEA,DEDBCCEBDCCDCCDDCBCCBBAABE*DCDBCABCDDCDECBBEE,0,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC,CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,1,120,180,100,100,80,580
527034,2024,35923321,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1422,1384,1396,1410,428.4,472.9,477.6,382.3,ACBBDCBEECBEAABACDDABCDBCDBBECEEBECEDCDCABAEC,CDBEDBCBECADCDBBDCBBCBCACDDACAECBADABEDBEECBA,AAEADDBDDCDEDDEAACDDADDBBDAB*ABDCBCAAEDECCCAB,BABDDBAEDCCDABDCBCCDBDEABCACDDBADAAEDDBEBCDCB,0,BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD,DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA,AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC,DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD,1,100,140,100,100,40,480
3102692,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,
