NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
210062064863,2024,13,M,1,1,1,1,18,,0,3523107,Itaquaquecetuba,35,SP,C,C,C,B,3,B,D,A,B,B,B,B,B,A,B,A,B,B,A,A,A,D,A
210062065994,2024,2,M,1,3,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,E,G,C,D,4,A,E,A,C,C,B,A,B,A,B,B,A,A,A,B,B,C,A
210062067264,2024,4,F,1,3,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,E,E,C,C,4,B,C,A,B,B,A,A,B,A,A,B,A,B,A,B,A,B,A
210062070147,2024,3,M,1,1,2,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,C,C,B,4,B,B,A,C,D,B,A,B,A,B,B,B,A,A,B,B,D,A
210062070568,2024,3,F,1,1,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,H,H,C,F,6,A,B,A,B,C,A,A,B,B,B,B,A,B,A,B,A,D,A
210062071052,2024,3,M,1,1,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,E,G,D,D,3,B,G,A,B,C,B,B,B,A,B,B,A,B,A,B,C,D,B
210062071837,2024,13,F,1,2,1,1,18,,0,3523107,Itaquaquecetuba,35,SP,B,B,B,B,3,B,B,A,B,C,A,A,B,A,B,A,A,C,A,B,A,B,A
210062071886,2024,3,M,0,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,B,F,F,3,A,E,A,C,C,A,A,B,A,B,B,B,C,B,B,B,D,A
210062072358,2024,9,M,1,3,1,1,4,,0,3523107,Itaquaquecetuba,35,SP,B,E,C,A,4,A,B,A,B,C,A,A,B,A,B,A,A,B,A,B,A,D,A
210062073999,2024,3,M,1,1,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,E,E,C,B,4,A,B,A,D,D,B,A,B,A,B,B,B,C,A,B,C,D,A
210062075436,2024,2,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,B,B,7,A,B,A,B,C,B,A,B,A,B,A,A,B,A,B,A,E,A
210062075710,2024,4,F,1,2,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,B,B,B,B,6,A,B,A,B,C,A,A,B,A,A,A,A,B,A,B,A,D,A
210062076720,2024,1,M,0,1,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,G,E,F,B,3,A,E,A,C,D,B,A,B,B,B,B,B,C,A,B,B,D,A
210062076800,2024,4,F,1,3,1,1,0,,0,3523107,Itaquaquecetuba,35,SP,A,E,B,C,5,A,B,A,B,B,A,A,B,A,B,A,A,B,A,B,A,C,A
210062077522,2024,7,F,2,2,1,1,5,,0,3523107,Itaquaquecetuba,35,SP,D,A,C,B,3,B,C,A,B,B,A,A,B,A,B,A,A,B,A,B,A,C,A
210062078362,2024,3,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,C,B,8,A,D,A,B,C,A,A,B,A,A,B,A,A,A,B,A,B,A
210062078509,2024,13,M,1,3,1,1,18,,0,3523107,Itaquaquecetuba,35,SP,A,D,C,B,4,B,D,A,C,D,B,B,B,A,B,B,A,C,A,B,B,D,A
210062078735,2024,3,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,D,F,B,3,A,D,A,B,D,A,A,B,B,B,B,B,B,A,B,B,D,A
210062078934,2024,3,F,1,3,1,2,0,,0,3523107,Itaquaquecetuba,35,SP,H,E,F,B,2,B,B,A,B,B,B,A,B,A,B,B,A,B,A,B,A,B,A
210062078976,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,G,G,F,F,5,A,B,A,C,C,A,A,B,B,B,B,A,C,A,B,B,E,A
210062080641,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,D,C,D,4,A,C,A,C,C,B,A,B,A,B,B,A,B,A,B,A,C,A
210062081232,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,B,B,C,4,A,D,A,B,C,A,A,B,A,B,B,A,B,A,B,A,C,A
210062084701,2024,13,F,2,1,1,1,0,,0,3523107,Itaquaquecetuba,35,SP,B,E,C,B,3,B,E,A,B,B,B,A,B,A,B,B,A,B,A,B,B,C,A
210062085742,2024,9,M,1,1,1,1,6,,0,3523107,Itaquaquecetuba,35,SP,A,A,B,B,5,A,B,A,B,C,B,A,B,A,B,B,A,B,A,B,B,A,A
210062088771,2024,8,F,1,3,1,1,6,,0,3523107,Itaquaquecetuba,35,SP,B,B,B,B,2,A,B,A,B,C,A,A,B,A,B,B,A,B,A,B,A,C,A
