NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210060811490,2023,12,F,1,3,1,1,13,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,E,A,A,3,B,A,B,C,A,A,B,B,A,A,A,A,A,B,A,B,C,A,A,B
210058095658,2023,4,M,1,1,1,1,2,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,B,E,C,C,6,B,A,B,C,B,A,B,B,B,B,A,A,A,B,A,B,E,A,A,B
210059401206,2023,4,F,1,3,1,2,0,2,1,0,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1224,1192,1202,1214,397.8,489.6,499.8,419.6,EBBDBAEECEBDBDBEEABEADECAABABCCDEADEABEEDCCDA,AAAADEACDBECEDBADAECECCAABAABCBABCDBEAEDDACAD,AEACADAEAEDBBEDBACCEEAADECABACBEABBCBADADDBAA,EAAEDEDBECDCCDEADBEBEBDCBEBDADBAADBEDBCABEDEC,1,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1,100,120,120,120,100,560,E,C,C,B,5,D,A,C,C,B,A,B,A,B,A,B,A,A,C,A,B,D,B,B,B
210058995887,2023,5,F,1,2,1,1,3,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1222,1191,1201,1212,492.6,629.5,539.5,332.1,BEDEAEABEEBBDABCEDBBBCAACBDDCAEEDBC.BEADEABBB,CDAAECABACCEAADECBDAABCDBADAACDECDADBADBEBADB,CBEEADAAEEDCDBBBCEDCDCAEBBADAADBABAACABCBEDCB,CDDADBCECDBECABEBCADBECADBECABACBDECBDADBECAB,1,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,1,100,120,140,120,80,560,E,E,B,C,3,C,A,B,B,A,A,B,B,B,A,A,A,A,A,A,A,C,A,A,A
210058929325,2023,3,F,1,2,1,1,1,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,1,1,0,,1192,1202,,,573.3,510.0,,,DCEADEBBCDEABABDEDECAEEDEEDABCCAECDCEACDAABCD,BCEBACAEADDBACBEAEDAABCEACAEADBEBBDCBBADEACAB,,0,,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,,1,80,140,100,100,100,520,B,E,C,C,4,B,A,B,C,B,B,B,A,A,A,B,A,A,C,B,A,D,A,A,B
210059301414,2023,6,F,1,2,1,1,4,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1224,1192,1202,1214,729.5,747.8,697.1,830.6,CADDABBABDBEECDEABEEADCDDAEBABDCAEACCBADDCDBE,DBAADEADCDCEBABEDDEBAEABAEAABCACECDAECBDAABCD,BCBDACCEEEDEACBBACAACAACACAECBBEDBBCADADCDDAC,EBDABDAEAEACBEDCECCBEEBBACEBCCBCCDEDBDAABBDDD,0,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1,160,180,160,180,160,840,F,G,C,D,4,G,A,D,D,B,A,B,B,B,A,B,A,B,B,B,A,E,B,D,B
210058587884,2023,2,F,1,3,1,2,0,2,1,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1221,1193,1204,1211,586.9,593.5,521.0,659.9,DBEEBDCCCABBDDECEADEDEABEEEEBDCDBAEADCDDAEAEB,ACEEABAEDCBAADEEBCAABCDCCBCBDDABAAEADDCDBCDAD,DBABBAADCACDEDAACADBAACCEADCBABEAAECCADBBDCBD,DCADBECBDCBBCDABBEADAACDDBCDDBCABCDBCCEBEECCC,0,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1,140,180,120,140,180,760,E,E,C,D,5,D,A,B,C,B,A,B,A,B,A,A,A,A,B,A,A,E,B,B,B
210059654627,2023,4,F,1,2,1,1,2,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1221,1193,1204,1211,379.5,531.9,533.5,511.7,BEBCACBCBDECEADAABBAAEACEBADACACBDCEACEEABDAB,AEEBEAABDCACBDEABCDABEDCDBCACAADABACBCDDACAAD,ACAEABABDEBDCDDCBBCBBD.CCEAECAEAABBCBEEBACEED,CEABCBDDCBABAAABDCACACEEBCEDDBAEBBCCDCECEABCD,1,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1,160,120,120,100,80,580,H,E,F,D,1,B,A,B,B,A,A,B,B,B,A,A,A,A,B,A,A,B,A,A,A
210059445288,2023,2,F,1,1,1,2,0,3,1,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1224,1192,1202,1214,486.7,569.2,565.1,489.4,DEBAAAEDEDBEEDEBDEAEEBCBCDB.AECEAEEDCACBCEEEA,DAAAEEEDCBEABEBCDBABAEBDAACBEBAEBCDBACBDAABCD,BEBEACBEEEDDECCAAADBAAACAAAECBBECBCBBCEDEDCEC,EACADCDEBCECADDBCBCCCBDDECBCBBCDDDCCDEBACBADC,0,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1,120,140,120,120,140,640,F,G,F,D,2,G,A,C,C,B,A,B,B,B,B,B,B,A,B,A,B,D,A,B,B
210060144896,2023,4,F,1,2,1,1,1,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1224,1192,1202,1214,512.7,644.3,594.1,560.3,CBCBAECBDDBEECDDEEDDCDDCDBBBECDBDCDDCBDCCEBEA,DAAADEADCDCABABCDDEBDCCDACCDECACECDAECBDAABCD,BCBDACBEAEDDAECBACBABCACAAAECBBEDDEAADADEDDAD,EADADADEECACCADDABDCBBABEDABCCDDBDDADDEDBACAB,0,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1,140,160,140,120,120,680,E,E,B,B,2,B,A,B,C,A,A,B,B,B,A,A,A,A,A,A,A,C,A,B,B
210058823403,2023,11,F,1,2,1,1,11,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1221,1193,1204,1211,466.8,571.8,558.6,496.4,EBEEDAECCDCADDDAEBBCCCDBEADEAAABACEDDCDABCDAD,AAEEEACADCAADEEEBCEABCDCABBCDACEAAECEDAEECDAE,EEBACBADDBCDDDAAEADBCEBECBAECCAAABDCCECCACDED,CAABABBDDCDBADCBCBDAACBCACDDACBCCBBABDEBEDBCD,1,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1,140,120,120,100,100,580,F,E,F,B,2,B,A,B,B,A,A,B,B,B,A,B,A,A,B,A,B,B,A,B,B
210058809519,2023,3,F,1,1,1,1,1,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1221,1193,1204,1211,503.6,611.6,545.0,570.6,EBEEDCECCAABEDEAECAEEEBCABDDAEBEBCCEBCDDADBCD,DCEEADAEDCDAADEABCDABCDCCBCBDABDAEDCABADADDAE,EEBCACBBDECDEAAEDBEBBCCCCBAACCAEAECBBEDBACAED,DECDACBECEEDCDECDCDBACDDCDDDDDCACCBBCEECECACB,1,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1,120,120,120,140,140,640,H,E,F,B,2,F,A,B,C,C,A,B,B,B,A,B,A,B,C,A,B,D,A,B,B
210058505306,2023,3,F,1,3,1,1,1,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1223,1194,1203,1213,552.7,594.0,590.9,541.7,CDDCEEDDDDEEDEEABBBABCDAEDCBCBCDEDCCBCDDBEACD,ABCDABDACDCDACDEADDCDCBBAEDEBADBCDCCBEDCDCADE,BBAACAABCBEEAADAABDBACBBACCAEDCDCDBDBAEDDECCA,EADCECEBDDDBCCCDADACACBDDCDEEEADEABCCCAADDBAC,1,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,1,120,120,120,120,100,580,H,B,C,B,3,C,A,B,C,A,B,B,B,B,A,B,A,A,B,A,A,C,A,A,B
210059499638,2023,3,F,1,3,1,2,0,2,1,0,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1223,1194,1203,1213,507.9,541.5,511.8,391.3,CBBACDDCBABBAAAADEAEAABCECAEBBBECEEDCCEEBECBB,ABCDBBDDCDAEECEECECDDABBCEDBBCAADBCEDAECBCADD,A.BBDCAECDBEAADBBACEADCDABCAEACDDBEDCAEBCDDEE,EEDCBEDCAECCEEADBDCCBCAAECBAABAACCCEDDABAEEEC,0,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,1,160,200,160,200,200,920,C,D,C,B,3,B,A,B,B,B,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
210059918303,2023,2,F,1,1,1,2,0,2,1,0,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1221,1193,1204,1211,393.1,491.6,555.2,465.7,EBDBEBDEABBCDEAEDBBADACBAACDCAEEABECCBABDDDAD,CAEBCCBEDCCBADEAECAABADBCBAECECADEEAADBDBCABA,EBABEAADDECDEDACDDBAADCBDDCBCAEAAECBBEABACADD,CDBDACDDCBDDCDDBECCBCDBEADDDDBBABDECCCCBDAADB,0,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1,160,180,140,160,160,800,B,H,B,B,3,C,A,B,C,A,A,B,B,B,A,B,A,A,C,A,A,D,A,A,B
210059905178,2023,2,F,1,3,1,2,0,2,1,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1222,1191,1201,1212,493.5,523.6,521.5,562.4,CDCBBCDDEEBBDCAAAEEDBAECCADDBBAEDBABDCBCDAECB,CDAADCBDBCAEEADECACDABEDEEBBECBEEBACBDABEAEDB,ECDCACAAAEEBCCBADCEEDCAEBBDCBEDBCBAEEABCEEAAE,DCBCACACDAEAAECBEEACDCCEBCBEADACCDCDBAEBDECCA,1,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,1,80,120,100,80,100,480,E,E,B,B,5,C,A,B,B,A,A,B,A,A,A,A,A,A,B,B,A,C,A,A,B
210061193016,2023,2,M,1,1,1,2,0,2,1,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1221,1193,1204,1211,588.3,594.7,597.1,721.6,DBECBAEBCBBEBBDCBBBDDEDBBCDCCAEEBBDCCCDDEEBAC,ECEDADEBDCDAAAEDBCDABCCDEDCBDADEBDCADCADBCEAD,DBABCCBCDBDDEDAADACBABCCCCACCAEAAECBBBBAACAEB,CBBDAEDBABEDCEABBECEABADEDDDEEAADDCCCBEBDACCC,0,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1,140,180,140,120,160,740,E,E,C,F,4,C,A,B,C,B,A,B,B,B,A,B,A,B,B,A,A,C,A,A,B
210059388137,2023,3,F,1,3,1,1,1,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1221,1193,1204,1211,460.9,524.8,567.4,419.5,DBDDECEADACEEECECBAAABDCBCDDBCBECAAEDCAEADCAD,CEDECDAACAABADEEBCDABCACEDCACBCBBEEADBBDCCDCD,EDABBAACDECDCDACEAEABDBCCBABCDEAADDCBEDBDCEED,BEADABDDCACCECEABEEBDDBCAEEEDBBDAACCEEEDCEBED,0,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1,140,140,140,160,160,740,E,E,F,B,4,C,A,B,C,A,A,B,B,B,A,A,A,A,B,A,A,C,A,B,B
210058387401,2023,4,F,1,3,1,2,0,2,1,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1223,1194,1203,1213,484.5,583.1,550.9,654.5,DBDACADEDECBBEEEBBADCCAAADEEEBCEBABECAEDBDEDB,ABBDCCDACDAEACEECADADEECDAECEEABADCDBADCBAABE,BDBBAEAECBBEAADBCACEEABEACDBEDEADCADBAEDDADED,EBDBEDDABDACCDBCAEABDDACAEACAEDBCCECECECDDBEA,0,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,1,160,180,120,120,140,720,B,E,B,F,4,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A
210060022235,2023,3,F,1,2,1,1,1,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1223,1194,1203,1213,412.1,462.4,509.6,412.5,CADAEBDCDEDABCCDBBEBDBDBDBBECDAEBABCBBDBECEAA,ABEDCADDCDCEBBDEAEBDEBCEBBCBECBCADBCADACADECE,ACBBCEAECBBDACEABBEDABEAEDEDEAEABCEDBDEDCACEC,CDDCECCBDCDABADCACBEBCBCBDCEDBACDCADDAEBCCBDE,0,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,1,80,160,120,120,120,600,B,E,A,B,4,B,A,B,B,B,A,B,A,A,A,A,A,B,A,A,A,B,A,B,B
210058050458,2023,4,F,1,3,1,1,1,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1221,1193,1204,1211,414.6,507.1,514.6,339.4,BBDBDCDDDECCDBCAEBAEEDBDAECDDDEBDACEADBAAEEAB,AEEEEDABACDAADEACADABEDADBAADDAABDAEEEECAACAE,DDABBABDAECDADAEEABDEDACDAECAEDCAEEBBABCECAEB,BEABEBBDCBECBBEAECDECBEAEBEDDCBBABAABDDABDEEA,0,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1,100,140,120,120,120,600,B,G,C,D,3,B,A,B,C,B,A,B,B,B,A,B,A,B,C,A,A,D,A,B,B
210060188020,2023,2,F,1,1,1,2,0,2,1,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1224,1192,1202,1214,476.0,506.7,479.8,515.0,BDCBACEDBDBDBEADBCEBDBBDBABBACDDAEBDDBEACCAAE,DAACBACAADBEBCDCBABDBDEBDBCCBDCCACDCDCBDDABCC,BCBBECCEAEBBAEBBACCADACECBABADBBADBADBACECABC,EEDCDEBCBEDEAABCDCEBBACDBCACCCCEBDCACAAABEBDA,0,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1,120,140,120,140,120,640,E,E,F,B,4,B,A,B,B,A,A,B,B,B,B,A,A,B,B,A,A,C,A,B,B
210059933365,2023,11,F,2,3,1,4,0,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,C,B,D,D,4,C,C,B,B,A,A,B,B,A,A,B,A,A,B,A,A,B,A,A,B
210058581235,2023,7,F,1,3,1,1,0,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1222,1191,1201,1212,517.3,528.3,464.1,518.8,CEADADBAEBCDCBACBEBEEDADCBEDEEEAEBEBBCCCDADBA,CDBABADBBAEECEDEBAEAABBDCABEBCDECDBEBEDAADEDA,BDCDABEBEBDBCDDADBBBDEBEDABCBBCEAACACBACCEDAE,CBBCEBBCBADBDACDECABCCBDBEBACEACCDDEDEEDADCDA,1,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,1,140,180,120,120,140,700,E,E,B,D,5,C,A,B,C,A,A,B,B,B,A,B,A,A,B,A,B,D,A,A,B
210061368691,2023,9,F,0,3,1,2,0,2,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1221,1193,1204,1211,460.4,534.3,543.6,454.0,BBDBDCCDCABEEBACECEDCABCAADCBAECAAECDCAECDCAA,CCEECDBECCDABDEECCDABCDECABADABCACCAABBDACEBD,AEAACCDDDEADCDAADADBAEBCCEAADEEAAECCBEEAACAEC,BCAAABAEDBCACECBBCEBBABBDCEDEBEABDCBCBEEAABDE,0,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1,120,40,40,80,60,340,H,D,F,B,3,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
